Keyword,Score
Agence Rossel,0.0006975799273000112
BELLE MAISON,0.0013662081480984801
Agence Rossel,0.0017207987221872206
Ledit notaire,0.0018399898632343787
notaire VAN,0.002037891356415082
BELLE MAISON,0.00216519326574648
Agence Rossel,0.0021744848278108363
Ledit notaire,0.0023512771516076714
Agence Rossel,0.0024280779041161277
belle MAISON,0.0026514807702798467
Agence Rossel,0.0027543057700874
Agence Rossel,0.0027909900547092746
Agence Rossel,0.0029805879400731233
Académie Royale,0.003073659551423866
Agence Rossel,0.0031780703666202666
Agence Rossel,0.0032102829421320517
Agence Rossel,0.0034953154188307684
Agence Rossel,0.0037445232215797706
Marie Parren,0.0038117150537182506
Congo Belge,0.0038528473045089944
BELLE MAISON,0.0038596839509896833
Agence Bossei,0.0039104654751534245
Agence Rossel,0.003941031595896739
SWIMMING CLUB,0.004115518830134606
LOUER maison,0.004247212410188884
Anspach SAISON,0.004354277452995962
INTERVENTION SEMBLE,0.0043762261360663435
WLS SPÉCIAUX,0.004438131297630017
GARÇONNET BOIT,0.004518690192462052
DIJK ÀCCÎ,0.0046434597103672415
vente publique,0.004789259038182017
LOUER maison,0.004810025823597466
OFFICE APPLIANCE,0.004913569545174743
Agence Rossel,0.0049979691167412865
Agence Rossel,0.005064610133931161
GUERIRA SUREMENT,0.00507150103667305
CREDIT IMPERMEABLES,0.005127331306589718
Merveilleuse Mçlliode,0.005130090434081018
LITS ANGLAIS,0.005170072504927538
Etablissements EXCELSIOR,0.005170072504927538
ANGLAIS Etablissements,0.0052131718398512866
BONNE MAISON,0.005241430252405922
TERME FIXE,0.005311040422220159
Belle Maison,0.00540189708900271
BELLE MAISON,0.005543365089290857
VAN IMPE,0.005553125737366031
Appendicite Artéiïo,0.00576265663315827
FORTES CHALEURS,0.005781054245157821
VOULEZ ECHAPPER,0.005781054245157821
Mme Péral,0.006006815670193203
Chambre française,0.00630136912517349
BELLE PROPRIETE,0.006321879597587881
notaire MARCHANT,0.006444972452459109
notaire vendra,0.006490752782001926
VENTE PUBLIQUE,0.006788865036700682
Agence Rossel,0.007062960040278253
docteur Bougrat,0.007636248177408451
BELLE VILLA,0.007643273179669938
Léon Daudet,0.007865513615451502
BONNE MAISON,0.008182694907596908
notaire MARESCAUX,0.008247420613309932
Demande bonne,0.008248851703905878
Deutsche Bank,0.008507031670332996
notaire Camille,0.008708431977960823
SPORTING CLUB,0.008817247949042836
demande bon,0.008867034158375125
DEMANDE bonne,0.008989539383538383
Jolie maison,0.009116387482998185
Bons gages,0.009183598927448512
Agence Rossel,0.009667308657224778
notaire DUPONT,0.009674365523416419
Ledit notaire,0.009713298711512684
notaire BRUNET,0.009713484647909472
BONNE MAISON,0.009733872297702983
LOUER Belle,0.009756598447917793
SOIR Etude,0.009839195747873501
belle maison,0.009871644430199314
Philippe Daudet,0.01000155875156577
jouissance immédiate,0.010027534845438543
Jne fille,0.010048889065916583
FEMME dem,0.010456984474387535
Lloyd Royal,0.010509289395442541
VENDRE Libre,0.01051773101500276
louer maison,0.010608784336786
concours aveo,0.010651110485270314
BON piano,0.010721500911729161
LOUER MAISON,0.010729004955613
BOXINQ CLUB,0.010753113834544819
SIMILI CUIR,0.010890286261215104
Van Iseghem,0.010922351303193923
Demain dimanche,0.010972009487186019
GRAND LUXE,0.011017502841912708
demande place,0.011085142830705568
RENTIER rue,0.011386023243615673
général Sarrail,0.011678178714753566
Agence Bossol,0.01173417118286607
CLUB BAT,0.011784388096523258
VENDRE MAISON,0.011911140324934243
BELLE PROPRIETE,0.011933500561769967
louer maison,0.012025463582451051
rue Van,0.012186196525857208
Belle maison,0.012410692358367684
Ghent Swimming,0.012446281000501843
vendra publiquement,0.012631468507201227
Princesse Elisabeth,0.012647664757616299
OJRES INTCREtiANTS,0.012857492988786485
rue Royale,0.012988272305060758
l’abbé Yves,0.013217542439824538
ledit notaire,0.013297267450909249
rue Royale,0.013488939096303897
Atalante valante,0.013526464617971098
PETITS DIABLES,0.013644790923608726
Notaire Van,0.01372257170881202
vendra publiquement,0.013831934426695471
DEM. fem,0.013851849079566112
demande place,0.013874657316997482
rue Van,0.013934724781750809
bon état,0.014039657037657426
DEMANDE FILLE,0.0140638531746736
mètre Lot,0.014095857473032786
Den Haag,0.014212696398851758
Pastilles VALDA,0.014239008403864167
Van den,0.014269617628283281
TOM MIX,0.014472951233874374
SEMBLE S’IMÇO,0.01456157717633548
Territoires neutres,0.014658311609404503
louer bel,0.014770005389170842
Bons gages,0.014872883891165489
d’un pays,0.015047551449548224
LOUER bel,0.015062491983266157
vente publique,0.015096223828326179
grand Conseil,0.015147653804345004
CQÜR D’ASSISES,0.015152070580219069
restauration économique,0.015211922101926
fique'i Birîelj,0.015307485647355224
ACTIF OFFICE,0.015312930610798347
